,value,value,value,value,value,value,value,value
datetime,Cærrogæsjokka,Jiesjokka,Julelv,Njalmigoaika,Polmak,Polmak nye,Smalfjord,"Veahkkava, Iesjokka"
1911-07-24 11:00:00+00:00,,,,,253.3038,,,
1911-07-25 11:00:00+00:00,,,,,241.0981,,,
1911-07-26 11:00:00+00:00,,,,,235.1423,,,
1911-07-27 11:00:00+00:00,,,,,232.2008,,,
1911-07-28 11:00:00+00:00,,,,,238.108,,,
1911-07-29 11:00:00+00:00,,,,,247.1517,,,
1911-07-30 11:00:00+00:00,,,,,244.1126,,,
1911-07-31 11:00:00+00:00,,,,,220.6756,,,
1911-08-01 11:00:00+00:00,,,,,196.1263,,,
1911-08-02 11:00:00+00:00,,,,,180.7967,,,
1911-08-03 11:00:00+00:00,,,,,168.6382,,,
1911-08-04 11:00:00+00:00,,,,,163.9287,,,
1911-08-05 11:00:00+00:00,,,,,161.6066,,,
1911-08-06 11:00:00+00:00,,,,,171.0257,,,
1911-08-07 11:00:00+00:00,,,,,188.3595,,,
1911-08-08 11:00:00+00:00,,,,,180.7967,,,
1911-08-09 11:00:00+00:00,,,,,193.5146,,,
1911-08-10 11:00:00+00:00,,,,,180.7967,,,
1911-08-11 11:00:00+00:00,,,,,168.6382,,,
1911-08-12 11:00:00+00:00,,,,,159.3061,,,
1911-08-13 11:00:00+00:00,,,,,150.3183,,,
1911-08-14 11:00:00+00:00,,,,,143.7998,,,
1911-08-15 11:00:00+00:00,,,,,137.4689,,,
1911-08-16 11:00:00+00:00,,,,,135.3998,,,
1911-08-17 11:00:00+00:00,,,,,131.3231,,,
1911-08-18 11:00:00+00:00,,,,,127.3274,,,
1911-08-19 11:00:00+00:00,,,,,161.6066,,,
1911-08-20 11:00:00+00:00,,,,,178.3206,,,
1911-08-21 11:00:00+00:00,,,,,185.8161,,,
1911-08-22 11:00:00+00:00,,,,,188.3595,,,
1911-08-23 11:00:00+00:00,,,,,185.8161,,,
1911-08-24 11:00:00+00:00,,,,,173.4352,,,
1911-08-25 11:00:00+00:00,,,,,171.0257,,,
1911-08-26 11:00:00+00:00,,,,,185.8161,,,
1911-08-27 11:00:00+00:00,,,,,190.9257,,,
