datetime,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,value,unit,correction,quality
1991-09-15 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.6023989,m³/s,0,3
1991-09-16 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.7853099,m³/s,0,3
1991-09-17 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.9452102,m³/s,0,3
1991-09-18 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.8882361,m³/s,0,3
1991-09-19 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.786531,m³/s,0,3
1991-09-20 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.704501,m³/s,0,3
1991-09-21 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.5971119,m³/s,0,3
1991-09-22 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.5199886,m³/s,0,3
1991-09-23 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4511086,m³/s,0,3
1991-09-24 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4024029,m³/s,0,3
1991-09-25 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.3585988,m³/s,0,3
1991-09-26 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.3103771,m³/s,0,3
1991-09-27 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.2837401,m³/s,0,3
1991-09-28 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.264054,m³/s,0,3
1991-09-29 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.2916191,m³/s,0,3
1991-09-30 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.259873,m³/s,0,3
1991-10-01 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.2448265,m³/s,0,3
1991-10-02 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4505931,m³/s,0,3
1991-10-03 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.6622621,m³/s,0,3
1991-10-04 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.7337793,m³/s,0,3
1991-10-05 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.6635314,m³/s,0,3
1991-10-06 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.5960323,m³/s,0,3
1991-10-07 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.5678375,m³/s,0,3
1991-10-08 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4940596,m³/s,0,3
1991-10-09 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.5070688,m³/s,0,3
1991-10-10 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4681471,m³/s,0,3
1991-10-11 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4386751,m³/s,0,3
1991-10-12 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4376571,m³/s,0,3
1991-10-13 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4665439,m³/s,0,3
1991-10-14 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4372199,m³/s,0,3
1991-10-15 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4550512,m³/s,0,3
1991-10-16 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4652422,m³/s,0,3
1991-10-17 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4677754,m³/s,0,3
1991-10-18 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.3513518,m³/s,0,3
1991-10-19 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.2571487,m³/s,0,3
1991-10-20 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4715306,m³/s,0,3
1991-10-21 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.5846756,m³/s,0,3
1991-10-22 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.5498618,m³/s,0,3
1991-10-23 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4807956,m³/s,0,3
1991-10-24 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4838026,m³/s,0,3
1991-10-25 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.7783651,m³/s,0,3
1991-10-26 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,1.117109,m³/s,0,3
1991-10-27 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,1.05686,m³/s,0,3
1991-10-28 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.9361616,m³/s,0,3
1991-10-29 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.7950428,m³/s,0,3
1991-10-30 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.6844028,m³/s,0,3
1991-10-31 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.5902821,m³/s,0,3
1991-11-01 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4950695,m³/s,0,3
1991-11-02 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.4711728,m³/s,0,3
1991-11-03 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.3327657,m³/s,0,3
1991-11-04 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.3567853,m³/s,0,3
1991-11-05 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.3312941,m³/s,0,3
1991-11-06 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.286067,m³/s,0,3
1991-11-07 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.2771294,m³/s,0,3
1991-11-08 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.2478241,m³/s,0,3
1991-11-09 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.2220123,m³/s,0,3
1991-11-10 11:00:00+00:00,234.16.0,Julelv,1001,Vannføring,Discharge,Mean,0.1932893,m³/s,0,3
