datetime,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,value,unit,correction,quality
1911-07-24 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,253.3038,m³/s,0,3
1911-07-25 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,241.0981,m³/s,0,3
1911-07-26 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,235.1423,m³/s,0,3
1911-07-27 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,232.2008,m³/s,0,3
1911-07-28 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,238.108,m³/s,0,3
1911-07-29 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,247.1517,m³/s,0,3
1911-07-30 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,244.1126,m³/s,0,3
1911-07-31 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,220.6756,m³/s,0,3
1911-08-01 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,196.1263,m³/s,0,3
1911-08-02 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,180.7967,m³/s,0,3
1911-08-03 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,168.6382,m³/s,0,3
1911-08-04 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,163.9287,m³/s,0,3
1911-08-05 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,161.6066,m³/s,0,3
1911-08-06 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,171.0257,m³/s,0,3
1911-08-07 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,188.3595,m³/s,0,3
1911-08-08 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,180.7967,m³/s,0,3
1911-08-09 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,193.5146,m³/s,0,3
1911-08-10 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,180.7967,m³/s,0,3
1911-08-11 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,168.6382,m³/s,0,3
1911-08-12 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,159.3061,m³/s,0,3
1911-08-13 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,150.3183,m³/s,0,3
1911-08-14 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,143.7998,m³/s,0,3
1911-08-15 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,137.4689,m³/s,0,3
1911-08-16 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,135.3998,m³/s,0,3
1911-08-17 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,131.3231,m³/s,0,3
1911-08-18 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,127.3274,m³/s,0,3
1911-08-19 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,161.6066,m³/s,0,3
1911-08-20 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,178.3206,m³/s,0,3
1911-08-21 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,185.8161,m³/s,0,3
1911-08-22 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,188.3595,m³/s,0,3
1911-08-23 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,185.8161,m³/s,0,3
1911-08-24 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,173.4352,m³/s,0,3
1911-08-25 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,171.0257,m³/s,0,3
1911-08-26 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,185.8161,m³/s,0,3
1911-08-27 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,190.9257,m³/s,0,3
1911-08-28 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,180.7967,m³/s,0,3
1911-08-29 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,188.3595,m³/s,0,3
1911-08-30 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,204.0995,m³/s,0,3
1911-08-31 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,185.8161,m³/s,0,3
1911-09-01 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,183.2952,m³/s,0,3
1911-09-02 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,180.7967,m³/s,0,3
1911-09-03 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,175.8668,m³/s,0,3
1911-09-04 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,178.3206,m³/s,0,3
1911-09-05 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,168.6382,m³/s,0,3
1911-09-06 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,173.4352,m³/s,0,3
1911-09-07 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,180.7967,m³/s,0,3
1911-09-08 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,193.5146,m³/s,0,3
1911-09-09 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,188.3595,m³/s,0,3
1911-09-10 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,193.5146,m³/s,0,3
1911-09-11 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,196.1263,m³/s,0,3
1911-09-12 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,190.9257,m³/s,0,3
1911-09-13 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,185.8161,m³/s,0,3
1911-09-14 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,178.3206,m³/s,0,3
1911-09-15 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,168.6382,m³/s,0,3
1911-09-16 11:00:00+00:00,234.1.0,Polmak,1001,Vannføring,Discharge,Mean,163.9287,m³/s,0,3
